gene_symbol	disease_OMIM_ID
ARVD5	604400
ARVD5	614302
ARVD6	6
ARVD7	181400
ARVD7	601419
ARVD7	604765
ARVD7	615325
ARVD9	609040
ARWH1	278150
ARWH2	604379
ARWH3	616760
ARX	300004
ARX	300215
ARX	300419
ARX	308350
ARX	309510
AS1	607277
AS160	616087
ASAH1	159950
ASAH1	228000
ASAM	615237
ASAT	301310
ASB	300751
ASB	300752
ASB10	603383
ASC1	616866
ASC1	617066
ASCC1	614266
ASCC1	616867
ASCC3L1	610359
ASCL1	209880
ASCT1	616657
ASD1	1
ASD2	187500
ASD2	607941
ASD2	614429
ASD2	614430
ASD2	615542
ASD3	613251
ASD3	613252
ASD3	614089
ASD3	614090
ASD4	611363
ASD5	612098
ASD5	612794
ASD5	613424
ASD6	613087
ASD8	614431
ASD8	614433
ASD9	187500
ASD9	217095
ASD9	600001
ASD9	614474
ASD9	614475
ASG	2
ASGD1	107250
ASGD1	610623
ASGD2	610256
ASGD2	612968
ASGD2	617349
ASGD3	601631
ASGD3	602482
ASGD4	137600
ASGD4	180500
ASGD4	180550
ASGD5	106210
ASGD5	120200
ASGD5	120430
ASGD5	136520
ASGD5	148190
ASGD5	165550
ASGD5	604229
ASGD6	231300
ASGD6	617315
ASGD7	269400
ASGD8	617319
ASH1	209880
ASIP	611742
ASL	207900
ASL13	168600
ASL13	183090
ASLN	301050
ASM1	130650
ASM1	180860
ASM1	194071
ASMA	161800
ASMA	255310
ASMA	616852
ASMD	610256
ASMD	612968
ASMD	617349
ASNS	615574
ASNSD	615574
ASPA	271900
ASPGX1	300425
ASPGX1	300494
ASPGX2	300495
ASPGX2	300497
ASPH	601552
ASPL	606243
ASPM	608716
ASPN	603932
ASPN	607850
ASPRS. LBSL	611105
ASPS	606243
ASPS	615224
ASPSCR1	606243
ASRT1	607277
ASRT2	608584
ASRT5	611064
ASRT7	181500
ASRT7	611960
ASS	215700
ASS1	215700
ASTQTL1	614419
ASV	114500
ASV	616937
ASXL1	605039
ASXL1	614286
ASXL2	617190
ASXL3	615485
AT	300755
AT	307200
AT1	114480
AT1	208900
AT1	612539
AT1	614482
AT2R1	145500
AT2R1	267430
AT3	613118
AT3D	613118
ATA	114480
ATA	208900
ATAD3A	617183
ATBF1	176807
ATC2	614595
ATCAY	601238
ATCS	601776
ATD2	611263
ATD3	613091
ATD4	613819
ATD4	613820
ATD5	614376
ATD5	614377
ATD5	614378
ATD5	616307
ATF6	616517
ATFB1	1
ATFB11	108770
ATFB11	614049
ATFB12	239850
ATFB12	608569
ATFB12	614050
ATFB13	604233
ATFB13	612838
ATFB13	615377
ATFB13	617350
ATFB14	615378
ATFB15	615770
ATFB16	613120
ATFB17	611819
ATFB2	2
ATFB3	192500
ATFB3	220400
ATFB3	607554
ATFB3	609621
ATFB4	611493
ATFB4	613693
ATFB6	612201
ATFB6	615745
ATFB7	612240
ATFB8	8
ATFB9	170390
ATFB9	609622
ATFB9	613980
ATG16L1	611081
ATGL	610717
ATIC	608688
ATL1	182600
ATL1	613708
ATL3	615632
ATLD	604391
ATLD2	615919
ATM	114480
ATM	208900
ATN	103470
ATN	203100
ATN	601800
ATN	606952
ATN1	125370
ATOD2	146700
ATOD2	605803
ATOH5	610370
ATOH7	221900
ATP12	604273
ATP13A2	606693
ATP13A2	617225
ATP1A2	104290
ATP1A2	602481
ATP1A3	128235
ATP1A3	601338
ATP1A3	614820
ATP1B1	145500
ATP1G1	154020
ATP2A1	601003
ATP2A2	101900
ATP2A2	124200
ATP2B	101900
ATP2B	124200
ATP2B2	601386
ATP2B3	302500
ATP2C1	169600
ATP5A	615228
ATP5A	616045
ATP5A1	615228
ATP5A1	616045
ATP5E	614053
ATP6AP1	300972
ATP6AP2	300423
ATP6AP2	300911
ATP6B1	267300
ATP6B1B2	124480
ATP6B1B2	616455
ATP6B2	124480
ATP6B2	616455
ATP6E	617402
ATP6IP1	300972
ATP6M8-9	300423
ATP6M8-9	300911
ATP6N1B	602722
ATP6S1	300972
ATP6V0A2	219200
ATP6V0A2	278250
ATP6V0A4	602722
ATP6V1A1	617403
ATP6V1E1	617402
ATP7A	300489
ATP7A	304150
ATP7A	309400
ATP7B	277900
ATP8A2	615268
ATP8B1	147480
ATP8B1	211600
ATP8B1	243300
ATPAF2	604273
ATPIB	615268
ATPM	615228
ATPM	616045
ATPSK2	612847
ATQ1	266100
ATR	210600
ATR	230740
ATR	602089
ATR	614564
ATR1	1
ATR1	220100
ATRST2	612201
ATRST2	615745
ATRX	300448
ATRX	301040
ATRX	309580
ATS	208050
ATS	301050
ATSV	610357
ATSV	614213
ATSV	614255
ATX1	164400
ATX2	168600
ATX2	183090
ATXN1	164400
ATXN10	603516
ATXN2	168600
ATXN2	183090
ATXN3	109150
ATXN7	164500
ATXN8	608768
ATXN8OS	608768
ATXPC	159550
AU	111200
AU	146550
AU	203655
AU	209500
AU	247420
AUH	250950
AUKS	616580
AUNA1	609129
AUNB1	601071
AURKA	114500
AURKC	243060
AURORA2	114500
AUTS15	610042
AUTS15	612100
AUTS16	613410
AUTS17	613436
AUTS18	615032
AUTS19	615091
AUTSX1	300425
AUTSX1	300494
AUTSX2	300495
AUTSX2	300497
AUTSX3	300055
AUTSX3	300260
AUTSX3	300496
AUTSX3	300673
AUTSX3	312750
AUTSX4	300830
AUTSX5	300847
AUTSX6	300872
AVED	277460
AVMD	136880
AVMD	169150
AVMD	608133
AVMD	608161
AVMD	613105
AVP	125700
AVPR2	300539
AVPR2	304800
AVRP	125700
AVSD2	606217
AVSD3	104100
AVSD3	133200
AVSD3	164200
AVSD3	186100
AVSD3	218400
AVSD3	241550
AVSD3	257850
AVSD3	600309
AVSD5	187500
AVSD5	217095
AVSD5	600001
AVSD5	614474
AVSD5	614475
AXIN	114550
AXIN	607864
AXIN1	114550
AXIN1	607864
AXIN2	114500
AXIN2	608615
AXPC1	609033
AYGRP	601088
AYGRP	610202
AYP1	610329
B120	614607
B12QTL1	612542
B17.2L	252010
B17.2L	256000
B29	612692
B2M	105200
B2M	241600
B3GALNT2	615181
B3GALT3	111400
B3GALT3	615021
B3GALT6	271640
B3GALT6	615349
B3GALTL	261540
B3GAT3	245600
B3GLCT	261540
B3GNT1	615287
B3GTL	261540
B4GALNT1	609195
B4GALT1	607091
B4GALT7	130070
B5R	250800
B9D1	614209
B9D1	617120
B9D2	614175
BA2R	300966
BA2R	314250
BAAT	607748
BAAT1	614498
BABL	150699
BACH1	114480
BACH1	609054
BACTS1	607948
BACTS1	610799
BACTS1	611162
BACTS1	614382
BACTS2	607948
BACTS2	611162
BACTS2	614383
BAF	614008
BAF250B	135900
BAF57	607174
BAF57	616938
BAFFR	613494
BAFME1	1
BAG3	612954
BAG3	613881
BAM	610759
BAMS	158901
BAMS	603457
BANF1	614008
BAP	248800
BAP1	614327
BAP31	300475
BAPX1	613330
BARD1	114480
BART	615434
BARTS5	300971
BASNS	129200
BASNS	136000
BAX	114500
BAX	613065
BB1	617188
BBBG1	300000
BBDS	101200
BBDS	101400
BBDS	101600
BBDS	123150
BBDS	123500
BBDS	123790
BBDS	149730
BBDS	207410
BBDS	609579
BBDS	613659
BBDS	614592
BBGD	607483
BBIP1	615995
BBIP10	615995
BBIS	613680
BBOX2	300872
BBRSAY	200110
BBRSAY	209885
BBRSAY	227260
BBS1	209900
BBS10	615987
BBS11	254110
BBS11	615988
BBS12	615989
BBS13	249000
BBS13	615990
BBS13	617121
BBS14	610188
BBS14	610189
BBS14	611134
BBS14	611755
BBS14	615991
BBS15	217085
BBS15	615992
BBS16	613615
BBS16	615993
